design,card,domain,combo,perm,choiceset,option_1,option_2,option_3,option_4,response,order,gender,educ,region,race,age_cross
1,1,1,8,23,dab,4,1,2,,2,16,2,2,2,1,3
1,2,2,1,2,ba,2,1,,,1,10,2,2,2,1,3
1,3,3,6,11,cd,3,4,,,4,2,2,2,2,1,3
1,4,4,11,53,cdab,3,4,1,2,1,8,2,2,2,1,3
1,5,5,2,4,ca,3,1,,,1,1,2,2,2,1,3
1,6,6,7,17,cab,3,1,2,,1,12,2,2,2,1,3
1,7,7,2,3,ac,1,3,,,3,3,2,2,2,1,3
1,8,8,5,10,db,4,2,,,2,7,2,2,2,1,3
1,9,9,3,6,da,4,1,,,1,15,2,2,2,1,3
1,10,10,1,1,ab,1,2,,,2,11,2,2,2,1,3
1,11,11,8,19,abd,1,2,4,,4,9,2,2,2,1,3
1,12,12,8,21,bad,2,1,4,,4,6,2,2,2,1,3
1,13,13,8,21,bad,2,1,4,,2,4,2,2,2,1,3
1,14,14,3,5,ad,1,4,,,1,13,2,2,2,1,3
1,15,15,5,9,bd,2,4,,,4,5,2,2,2,1,3
1,16,16,11,38,abdc,1,2,4,3,1,14,2,2,2,1,3
1,17,1,7,13,abc,1,2,3,,2,32,2,2,2,1,3
1,18,2,2,3,ac,1,3,,,1,26,2,2,2,1,3
1,19,3,9,28,cda,3,4,1,,4,18,2,2,2,1,3
1,20,4,8,22,bda,2,4,1,,1,24,2,2,2,1,3
1,21,5,5,9,bd,2,4,,,4,17,2,2,2,1,3
1,22,6,5,10,db,4,2,,,4,28,2,2,2,1,3
1,23,7,10,36,dcb,4,3,2,,3,19,2,2,2,1,3
1,24,8,7,15,bac,2,1,3,,1,23,2,2,2,1,3
1,25,9,1,1,ab,1,2,,,2,31,2,2,2,1,3
1,26,10,4,8,cb,3,2,,,3,27,2,2,2,1,3
1,27,11,6,11,cd,3,4,,,3,25,2,2,2,1,3
1,28,12,6,11,cd,3,4,,,4,22,2,2,2,1,3
1,29,13,10,31,bcd,2,3,4,,2,20,2,2,2,1,3
1,30,14,2,3,ac,1,3,,,1,29,2,2,2,1,3
1,31,15,8,20,adb,1,4,2,,1,21,2,2,2,1,3
1,32,16,1,2,ba,2,1,,,1,30,2,2,2,1,3
2,1,1,10,35,dbc,4,2,3,,2,18,1,2,3,3,1
2,2,2,3,5,ad,1,4,,,1,31,1,2,3,3,1
2,3,3,2,4,ca,3,1,,,1,29,1,2,3,3,1
2,4,4,8,23,dab,4,1,2,,2,27,1,2,3,3,1
2,5,5,1,1,ab,1,2,,,1,24,1,2,3,3,1
2,6,6,11,45,bcad,2,3,1,4,2,23,1,2,3,3,1
2,7,7,11,58,dbca,4,2,3,1,4,26,1,2,3,3,1
2,8,8,6,12,dc,4,3,,,3,30,1,2,3,3,1
2,9,9,8,20,adb,1,4,2,,4,17,1,2,3,3,1
2,10,10,5,9,bd,2,4,,,2,22,1,2,3,3,1
2,11,11,9,27,cad,3,1,4,,4,20,1,2,3,3,1
2,12,12,11,45,bcad,2,3,1,4,4,28,1,2,3,3,1
2,13,13,5,10,db,4,2,,,2,19,1,2,3,3,1
2,14,14,5,10,db,4,2,,,4,32,1,2,3,3,1
2,15,15,10,31,bcd,2,3,4,,2,25,1,2,3,3,1
2,16,16,4,7,bc,2,3,,,3,21,1,2,3,3,1
2,17,1,8,21,bad,2,1,4,,2,2,1,2,3,3,1
2,18,2,10,33,cbd,3,2,4,,2,15,1,2,3,3,1
2,19,3,9,27,cad,3,1,4,,4,13,1,2,3,3,1
2,20,4,11,39,acbd,1,3,2,4,2,11,1,2,3,3,1
2,21,5,6,12,dc,4,3,,,3,8,1,2,3,3,1
2,22,6,9,28,cda,3,4,1,,1,7,1,2,3,3,1
2,23,7,6,12,dc,4,3,,,4,10,1,2,3,3,1
2,24,8,8,22,bda,2,4,1,,2,14,1,2,3,3,1
2,25,9,11,37,abcd,1,2,3,4,4,1,1,2,3,3,1
2,26,10,7,18,cba,3,2,1,,2,6,1,2,3,3,1
2,27,11,3,6,da,4,1,,,4,4,1,2,3,3,1
2,28,12,9,25,acd,1,3,4,,3,12,1,2,3,3,1
2,29,13,6,12,dc,4,3,,,3,3,1,2,3,3,1
2,30,14,11,58,dbca,4,2,3,1,3,16,1,2,3,3,1
2,31,15,9,29,dac,4,1,3,,4,9,1,2,3,3,1
2,32,16,6,12,dc,4,3,,,3,5,1,2,3,3,1
3,1,1,6,11,cd,3,4,,,4,25,1,5,1,1,2
3,2,2,5,9,bd,2,4,,,2,20,1,5,1,1,2
3,3,3,10,34,cdb,3,4,2,,4,30,1,5,1,1,2
3,4,4,1,1,ab,1,2,,,2,26,1,5,1,1,2
3,5,5,8,23,dab,4,1,2,,1,29,1,5,1,1,2
3,6,6,11,57,dbac,4,2,1,3,2,28,1,5,1,1,2
3,7,7,11,60,dcba,4,3,2,1,1,31,1,5,1,1,2
3,8,8,3,5,ad,1,4,,,4,24,1,5,1,1,2
3,9,9,6,11,cd,3,4,,,3,23,1,5,1,1,2
3,10,10,2,3,ac,1,3,,,3,32,1,5,1,1,2
3,11,11,7,15,bac,2,1,3,,2,19,1,5,1,1,2
3,12,12,8,24,dba,4,2,1,,2,22,1,5,1,1,2
3,13,13,4,8,cb,3,2,,,3,27,1,5,1,1,2
3,14,14,10,34,cdb,3,4,2,,2,18,1,5,1,1,2
3,15,15,11,40,acdb,1,3,4,2,4,17,1,5,1,1,2
3,16,16,1,1,ab,1,2,,,2,21,1,5,1,1,2
3,17,1,11,39,acbd,1,3,2,4,1,9,1,5,1,1,2
3,18,2,2,4,ca,3,1,,,1,4,1,5,1,1,2
3,19,3,2,3,ac,1,3,,,1,14,1,5,1,1,2
3,20,4,3,6,da,4,1,,,1,10,1,5,1,1,2
3,21,5,4,7,bc,2,3,,,3,13,1,5,1,1,2
3,22,6,7,13,abc,1,2,3,,2,12,1,5,1,1,2
3,23,7,9,25,acd,1,3,4,,1,15,1,5,1,1,2
3,24,8,2,3,ac,1,3,,,1,8,1,5,1,1,2
3,25,9,7,13,abc,1,2,3,,3,7,1,5,1,1,2
3,26,10,11,57,dbac,4,2,1,3,3,16,1,5,1,1,2
3,27,11,4,7,bc,2,3,,,2,3,1,5,1,1,2
3,28,12,4,8,cb,3,2,,,2,6,1,5,1,1,2
3,29,13,8,24,dba,4,2,1,,1,11,1,5,1,1,2
3,30,14,5,9,bd,2,4,,,2,2,1,5,1,1,2
3,31,15,5,10,db,4,2,,,4,1,1,5,1,1,2
3,32,16,3,5,ad,1,4,,,4,5,1,5,1,1,2
4,1,1,9,29,dac,4,1,3,,3,1,1,2,4,3,2
4,2,2,3,6,da,4,1,,,1,12,1,2,4,3,2
4,3,3,8,21,bad,2,1,4,,1,15,1,2,4,3,2
4,4,4,5,9,bd,2,4,,,4,3,1,2,4,3,2
4,5,5,10,36,dcb,4,3,2,,4,5,1,2,4,3,2
4,6,6,11,51,cbad,3,2,1,4,1,16,1,2,4,3,2
4,7,7,6,11,cd,3,4,,,4,11,1,2,4,3,2
4,8,8,3,5,ad,1,4,,,1,14,1,2,4,3,2
4,9,9,5,10,db,4,2,,,4,4,1,2,4,3,2
4,10,10,7,18,cba,3,2,1,,1,2,1,2,4,3,2
4,11,11,10,35,dbc,4,2,3,,3,7,1,2,4,3,2
4,12,12,9,25,acd,1,3,4,,4,6,1,2,4,3,2
4,13,13,6,12,dc,4,3,,,3,10,1,2,4,3,2
4,14,14,4,8,cb,3,2,,,2,8,1,2,4,3,2
4,15,15,5,10,db,4,2,,,2,13,1,2,4,3,2
4,16,16,8,19,abd,1,2,4,,1,9,1,2,4,3,2
4,17,1,2,4,ca,3,1,,,3,17,1,2,4,3,2
4,18,2,6,12,dc,4,3,,,3,28,1,2,4,3,2
4,19,3,4,8,cb,3,2,,,3,31,1,2,4,3,2
4,20,4,1,2,ba,2,1,,,1,19,1,2,4,3,2
4,21,5,1,2,ba,2,1,,,2,21,1,2,4,3,2
4,22,6,8,21,bad,2,1,4,,1,32,1,2,4,3,2
4,23,7,2,4,ca,3,1,,,3,27,1,2,4,3,2
4,24,8,2,4,ca,3,1,,,1,30,1,2,4,3,2
4,25,9,9,27,cad,3,1,4,,1,20,1,2,4,3,2
4,26,10,10,32,bdc,2,4,3,,3,18,1,2,4,3,2
4,27,11,3,5,ad,1,4,,,4,23,1,2,4,3,2
4,28,12,1,2,ba,2,1,,,2,22,1,2,4,3,2
4,29,13,3,6,da,4,1,,,1,26,1,2,4,3,2
4,30,14,6,12,dc,4,3,,,3,24,1,2,4,3,2
4,31,15,3,6,da,4,1,,,4,29,1,2,4,3,2
4,32,16,4,8,cb,3,2,,,2,25,1,2,4,3,2
5,1,1,4,7,bc,2,3,,,2,27,2,5,2,1,3
5,2,2,6,11,cd,3,4,,,3,28,2,5,2,1,3
5,3,3,3,6,da,4,1,,,1,31,2,5,2,1,3
5,4,4,7,18,cba,3,2,1,,3,29,2,5,2,1,3
5,5,5,4,8,cb,3,2,,,3,22,2,5,2,1,3
5,6,6,2,4,ca,3,1,,,1,18,2,5,2,1,3
5,7,7,11,43,bacd,2,1,3,4,2,25,2,5,2,1,3
5,8,8,2,3,ac,1,3,,,3,32,2,5,2,1,3
5,9,9,2,3,ac,1,3,,,3,30,2,5,2,1,3
5,10,10,2,3,ac,1,3,,,1,19,2,5,2,1,3
5,11,11,8,20,adb,1,4,2,,2,26,2,5,2,1,3
5,12,12,8,19,abd,1,2,4,,4,24,2,5,2,1,3
5,13,13,6,11,cd,3,4,,,3,21,2,5,2,1,3
5,14,14,5,9,bd,2,4,,,4,20,2,5,2,1,3
5,15,15,5,9,bd,2,4,,,4,23,2,5,2,1,3
5,16,16,6,12,dc,4,3,,,3,17,2,5,2,1,3
5,17,1,3,5,ad,1,4,,,4,11,2,5,2,1,3
5,18,2,9,30,dca,4,3,1,,1,12,2,5,2,1,3
5,19,3,7,18,cba,3,2,1,,1,15,2,5,2,1,3
5,20,4,10,35,dbc,4,2,3,,3,13,2,5,2,1,3
5,21,5,11,42,adcb,1,4,3,2,3,6,2,5,2,1,3
5,22,6,4,8,cb,3,2,,,2,2,2,5,2,1,3
5,23,7,3,6,da,4,1,,,4,9,2,5,2,1,3
5,24,8,3,5,ad,1,4,,,4,16,2,5,2,1,3
5,25,9,3,6,da,4,1,,,4,14,2,5,2,1,3
5,26,10,7,13,abc,1,2,3,,2,3,2,5,2,1,3
5,27,11,6,12,dc,4,3,,,3,10,2,5,2,1,3
5,28,12,11,44,badc,2,1,4,3,4,8,2,5,2,1,3
5,29,13,8,21,bad,2,1,4,,1,5,2,5,2,1,3
5,30,14,2,3,ac,1,3,,,1,4,2,5,2,1,3
5,31,15,4,7,bc,2,3,,,2,7,2,5,2,1,3
